season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,2,ATL,9,0,2,4,4,198.0,56,1,74.0,6,,2,0.22,0.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,22.0,6.22,0.1111111111111111,0.6666666666666666,0.67,def,26.0,7.2,74.0,4.0
2025,2,ATL,10,1,5,3,1,326.0,79,5,66.8,22,,6,0.6,0.1,0.5,0.1,0.3,32.6,7.9,0.5,2.2,2.2,off,33.2,7.2,66.8,1.0
2025,2,BAL,11,3,1,6,2,322.0,82,3,68.55,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.5454545454545454,29.27,7.45,0.2727272727272727,2.1818181818181817,2.18,def,31.45,6.82,68.55,1.9999999999999998
2025,2,BAL,11,4,2,5,0,242.0,66,4,61.73,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0,0.4545454545454545,22.0,6.0,0.3636363636363636,3.090909090909091,3.09,off,38.27,6.82,61.73,0.0
2025,2,BUF,10,1,1,7,1,154.0,56,1,72.5,10,,2,0.2,0.1,0.1,0.1,0.7,15.4,5.6,0.1,1.0,1.0,def,27.5,3.3,72.5,1.0
2025,2,BUF,10,3,3,3,0,403.0,81,4,69.2,30,,6,0.6,0.3,0.3,0.0,0.3,40.3,8.1,0.4,3.0,3.0,off,30.8,3.3,69.2,0.0
2025,2,CAR,8,2,2,2,1,293.0,59,4,68.5,20,,4,0.5,0.25,0.25,0.125,0.25,36.62,7.38,0.5,2.5,2.5,def,31.5,-7.38,68.5,1.0
2025,2,CAR,8,4,1,2,2,352.0,89,4,75.88,31,,5,0.62,0.5,0.125,0.25,0.25,44.0,11.12,0.5,3.875,3.88,off,24.12,-7.38,75.88,2.0
2025,2,CHI,12,7,1,3,0,511.0,64,7,62.33,52,,8,0.67,0.5833333333333334,0.0833333333333333,0.0,0.25,42.58,5.33,0.5833333333333334,4.333333333333333,4.33,def,37.67,-8.83,62.33,0.0
2025,2,CHI,12,3,0,4,3,339.0,74,2,71.17,21,,3,0.25,0.25,0.0,0.25,0.3333333333333333,28.25,6.17,0.1666666666666666,1.75,1.75,off,28.83,-8.83,71.17,3.0
2025,2,CIN,12,3,2,2,3,400.0,76,6,66.0,27,,5,0.42,0.25,0.1666666666666666,0.25,0.1666666666666666,33.33,6.33,0.5,2.25,2.25,def,34.0,-2.45,66.0,3.0
2025,2,CIN,11,4,1,3,3,350.0,73,4,68.45,31,,5,0.45,0.3636363636363636,0.0909090909090909,0.2727272727272727,0.2727272727272727,31.82,6.64,0.3636363636363636,2.8181818181818183,2.82,off,31.55,-2.45,68.45,3.0
2025,2,CLE,11,4,2,5,0,242.0,66,4,61.73,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0,0.4545454545454545,22.0,6.0,0.3636363636363636,3.090909090909091,3.09,def,38.27,-6.82,61.73,0.0
2025,2,CLE,11,3,1,6,2,322.0,82,3,68.55,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.5454545454545454,29.27,7.45,0.2727272727272727,2.1818181818181817,2.18,off,31.45,-6.82,68.55,1.9999999999999998
2025,2,DAL,12,4,3,3,1,506.0,77,5,68.5,37,,7,0.58,0.3333333333333333,0.25,0.0833333333333333,0.25,42.17,6.42,0.4166666666666667,3.083333333333333,3.08,def,31.5,-5.08,68.5,0.9999999999999996
2025,2,DAL,12,4,4,4,1,478.0,101,3,73.58,40,,8,0.67,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.3333333333333333,39.83,8.42,0.25,3.333333333333333,3.33,off,26.42,-5.08,73.58,0.9999999999999996
2025,2,DEN,10,2,5,0,0,473.0,78,6,78.4,29,,7,0.7,0.2,0.5,0.0,0.0,47.3,7.8,0.6,2.9,2.9,def,21.6,16.84,78.4,0.0
2025,2,DEN,9,4,0,3,1,324.0,64,3,61.56,28,,4,0.44,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,36.0,7.11,0.3333333333333333,3.111111111111111,3.11,off,38.44,16.84,61.56,1.0
2025,2,DET,12,3,0,4,3,339.0,74,2,71.17,21,,3,0.25,0.25,0.0,0.25,0.3333333333333333,28.25,6.17,0.1666666666666666,1.75,1.75,def,28.83,8.83,71.17,3.0
2025,2,DET,12,7,1,3,0,511.0,64,7,62.33,52,,8,0.67,0.5833333333333334,0.0833333333333333,0.0,0.25,42.58,5.33,0.5833333333333334,4.333333333333333,4.33,off,37.67,8.83,62.33,0.0
2025,2,GB,11,2,1,4,0,230.0,77,2,62.82,17,,3,0.27,0.1818181818181818,0.0909090909090909,0.0,0.3636363636363636,20.91,7.0,0.1818181818181818,1.5454545454545454,1.55,def,37.18,-3.85,62.82,0.0
2025,2,GB,12,3,2,4,0,404.0,77,4,66.67,27,,5,0.42,0.25,0.1666666666666666,0.0,0.3333333333333333,33.67,6.42,0.3333333333333333,2.25,2.25,off,33.33,-3.85,66.67,0.0
2025,2,HOU,10,3,0,6,0,360.0,88,4,79.6,21,,3,0.3,0.3,0.0,0.0,0.6,36.0,8.8,0.4,2.1,2.1,def,20.4,16.7,79.6,0.0
2025,2,HOU,10,2,2,4,0,266.0,54,2,62.9,20,,4,0.4,0.2,0.2,0.0,0.4,26.6,5.4,0.2,2.0,2.0,off,37.1,16.7,62.9,0.0
2025,2,IND,9,4,0,3,1,324.0,64,3,61.56,28,,4,0.44,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,36.0,7.11,0.3333333333333333,3.111111111111111,3.11,def,38.44,-16.84,61.56,1.0
2025,2,IND,10,2,5,0,0,473.0,78,6,78.4,29,,7,0.7,0.2,0.5,0.0,0.0,47.3,7.8,0.6,2.9,2.9,off,21.6,-16.84,78.4,0.0
2025,2,JAX,11,4,1,3,3,350.0,73,4,68.45,31,,5,0.45,0.3636363636363636,0.0909090909090909,0.2727272727272727,0.2727272727272727,31.82,6.64,0.3636363636363636,2.8181818181818183,2.82,def,31.55,2.45,68.45,3.0
2025,2,JAX,12,3,2,2,3,400.0,76,6,66.0,27,,5,0.42,0.25,0.1666666666666666,0.25,0.1666666666666666,33.33,6.33,0.5,2.25,2.25,off,34.0,2.45,66.0,3.0
2025,2,KC,10,2,2,5,0,216.0,72,2,66.1,20,,4,0.4,0.2,0.2,0.0,0.5,21.6,7.2,0.2,2.0,2.0,def,33.9,-7.68,66.1,0.0
2025,2,KC,9,2,1,3,1,294.0,66,2,73.78,17,,3,0.33,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,32.67,7.33,0.2222222222222222,1.8888888888888888,1.89,off,26.22,-7.68,73.78,1.0
2025,2,LA,11,1,4,5,1,252.0,79,3,71.18,19,,5,0.45,0.0909090909090909,0.3636363636363636,0.0909090909090909,0.4545454545454545,22.91,7.18,0.2727272727272727,1.7272727272727273,1.73,def,28.82,4.55,71.18,0.9999999999999999
2025,2,LA,11,4,2,3,1,439.0,68,6,66.64,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0909090909090909,0.2727272727272727,39.91,6.18,0.5454545454545454,3.090909090909091,3.09,off,33.36,4.55,66.64,0.9999999999999999
2025,2,LAC,10,0,3,2,3,218.0,75,3,72.4,9,,3,0.3,0.0,0.3,0.3,0.2,21.8,7.5,0.3,0.9,0.9,def,27.6,8.1,72.4,3.0
2025,2,LAC,10,2,2,3,1,317.0,64,4,64.3,20,,4,0.4,0.2,0.2,0.1,0.3,31.7,6.4,0.4,2.0,2.0,off,35.7,8.1,64.3,1.0
2025,2,LV,10,2,2,3,1,317.0,64,4,64.3,20,,4,0.4,0.2,0.2,0.1,0.3,31.7,6.4,0.4,2.0,2.0,def,35.7,-8.1,64.3,1.0
2025,2,LV,10,0,3,2,3,218.0,75,3,72.4,9,,3,0.3,0.0,0.3,0.3,0.2,21.8,7.5,0.3,0.9,0.9,off,27.6,-8.1,72.4,3.0
2025,2,MIA,9,4,2,2,0,333.0,68,4,73.67,34,,6,0.67,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,37.0,7.56,0.4444444444444444,3.7777777777777777,3.78,def,26.33,1.42,73.67,0.0
2025,2,MIA,8,2,2,2,2,358.0,65,2,72.25,20,,4,0.5,0.25,0.25,0.25,0.25,44.75,8.12,0.25,2.5,2.5,off,27.75,1.42,72.25,2.0
2025,2,MIN,10,1,5,3,1,326.0,79,5,66.8,22,,6,0.6,0.1,0.5,0.1,0.3,32.6,7.9,0.5,2.2,2.2,def,33.2,-7.2,66.8,1.0
2025,2,MIN,9,0,2,4,4,198.0,56,1,74.0,6,,2,0.22,0.0,0.2222222222222222,0.4444444444444444,0.4444444444444444,22.0,6.22,0.1111111111111111,0.6666666666666666,0.67,off,26.0,-7.2,74.0,4.0
2025,2,NE,8,2,2,2,2,358.0,65,2,72.25,20,,4,0.5,0.25,0.25,0.25,0.25,44.75,8.12,0.25,2.5,2.5,def,27.75,-1.42,72.25,2.0
2025,2,NE,9,4,2,2,0,333.0,68,4,73.67,34,,6,0.67,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,37.0,7.56,0.4444444444444444,3.7777777777777777,3.78,off,26.33,-1.42,73.67,0.0
2025,2,NO,11,3,2,4,1,344.0,78,2,65.36,27,,5,0.45,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.3636363636363636,31.27,7.09,0.1818181818181818,2.4545454545454546,2.45,def,34.64,-5.45,65.36,0.9999999999999999
2025,2,NO,11,3,0,4,1,307.0,76,3,70.82,21,,3,0.27,0.2727272727272727,0.0,0.0909090909090909,0.3636363636363636,27.91,6.91,0.2727272727272727,1.9090909090909087,1.91,off,29.18,-5.45,70.82,0.9999999999999999
2025,2,NYG,12,4,4,4,1,478.0,101,3,73.58,40,,8,0.67,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.3333333333333333,39.83,8.42,0.25,3.333333333333333,3.33,def,26.42,5.08,73.58,0.9999999999999996
2025,2,NYG,12,4,3,3,1,506.0,77,5,68.5,37,,7,0.58,0.3333333333333333,0.25,0.0833333333333333,0.25,42.17,6.42,0.4166666666666667,3.083333333333333,3.08,off,31.5,5.08,68.5,0.9999999999999996
2025,2,NYJ,10,3,3,3,0,403.0,81,4,69.2,30,,6,0.6,0.3,0.3,0.0,0.3,40.3,8.1,0.4,3.0,3.0,def,30.8,-3.3,69.2,0.0
2025,2,NYJ,10,1,1,7,1,154.0,56,1,72.5,10,,2,0.2,0.1,0.1,0.1,0.7,15.4,5.6,0.1,1.0,1.0,off,27.5,-3.3,72.5,1.0
2025,2,PHI,9,2,1,3,1,294.0,66,2,73.78,17,,3,0.33,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,32.67,7.33,0.2222222222222222,1.8888888888888888,1.89,def,26.22,7.68,73.78,1.0
2025,2,PHI,10,2,2,5,0,216.0,72,2,66.1,20,,4,0.4,0.2,0.2,0.0,0.5,21.6,7.2,0.2,2.0,2.0,off,33.9,7.68,66.1,0.0
2025,2,PIT,11,3,1,4,2,395.0,71,3,70.82,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.3636363636363636,35.91,6.45,0.2727272727272727,2.1818181818181817,2.18,def,29.18,3.45,70.82,1.9999999999999998
2025,2,PIT,11,1,3,4,2,267.0,68,2,67.36,16,,4,0.36,0.0909090909090909,0.2727272727272727,0.1818181818181818,0.3636363636363636,24.27,6.18,0.1818181818181818,1.4545454545454546,1.45,off,32.64,3.45,67.36,1.9999999999999998
2025,2,SEA,11,1,3,4,2,267.0,68,2,67.36,16,,4,0.36,0.0909090909090909,0.2727272727272727,0.1818181818181818,0.3636363636363636,24.27,6.18,0.1818181818181818,1.4545454545454546,1.45,def,32.64,-3.45,67.36,1.9999999999999998
2025,2,SEA,11,3,1,4,2,395.0,71,3,70.82,24,,4,0.36,0.2727272727272727,0.0909090909090909,0.1818181818181818,0.3636363636363636,35.91,6.45,0.2727272727272727,2.1818181818181817,2.18,off,29.18,-3.45,70.82,1.9999999999999998
2025,2,SF,11,3,0,4,1,307.0,76,3,70.82,21,,3,0.27,0.2727272727272727,0.0,0.0909090909090909,0.3636363636363636,27.91,6.91,0.2727272727272727,1.9090909090909087,1.91,def,29.18,5.45,70.82,0.9999999999999999
2025,2,SF,11,3,2,4,1,344.0,78,2,65.36,27,,5,0.45,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.3636363636363636,31.27,7.09,0.1818181818181818,2.4545454545454546,2.45,off,34.64,5.45,65.36,0.9999999999999999
2025,2,TB,10,2,2,4,0,266.0,54,2,62.9,20,,4,0.4,0.2,0.2,0.0,0.4,26.6,5.4,0.2,2.0,2.0,def,37.1,-16.7,62.9,0.0
2025,2,TB,10,3,0,6,0,360.0,88,4,79.6,21,,3,0.3,0.3,0.0,0.0,0.6,36.0,8.8,0.4,2.1,2.1,off,20.4,-16.7,79.6,0.0
2025,2,TEN,11,4,2,3,1,439.0,68,6,66.64,34,,6,0.55,0.3636363636363636,0.1818181818181818,0.0909090909090909,0.2727272727272727,39.91,6.18,0.5454545454545454,3.090909090909091,3.09,def,33.36,-4.55,66.64,0.9999999999999999
2025,2,TEN,11,1,4,5,1,252.0,79,3,71.18,19,,5,0.45,0.0909090909090909,0.3636363636363636,0.0909090909090909,0.4545454545454545,22.91,7.18,0.2727272727272727,1.7272727272727273,1.73,off,28.82,-4.55,71.18,0.9999999999999999
2025,2,WAS,12,3,2,4,0,404.0,77,4,66.67,27,,5,0.42,0.25,0.1666666666666666,0.0,0.3333333333333333,33.67,6.42,0.3333333333333333,2.25,2.25,def,33.33,3.85,66.67,0.0
2025,2,WAS,11,2,1,4,0,230.0,77,2,62.82,17,,3,0.27,0.1818181818181818,0.0909090909090909,0.0,0.3636363636363636,20.91,7.0,0.1818181818181818,1.5454545454545454,1.55,off,37.18,3.85,62.82,0.0
2025,3,BUF,9,3,0,4,1,276.0,65,3,67.44,21,,3,0.33,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,30.67,7.22,0.3333333333333333,2.333333333333333,2.33,def,32.56,-4.93,67.44,1.0
2025,3,BUF,8,4,1,2,0,360.0,65,5,72.38,31,,5,0.62,0.5,0.125,0.0,0.25,45.0,8.12,0.625,3.875,3.88,off,27.62,-4.93,72.38,0.0
2025,3,MIA,8,4,1,2,0,360.0,65,5,72.38,31,,5,0.62,0.5,0.125,0.0,0.25,45.0,8.12,0.625,3.875,3.88,def,27.62,4.93,72.38,0.0
2025,3,MIA,9,3,0,4,1,276.0,65,3,67.44,21,,3,0.33,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,30.67,7.22,0.3333333333333333,2.333333333333333,2.33,off,32.56,4.93,67.44,1.0
