team,side,epa_h1,epa_h2,sr_h1,sr_h2,adj_epa,adj_sr
ARI,def,-0.08437992682258379,0.01058797590027628,0.4925016538883953,0.5462975611739073,0.09496790272286007,0.05379590728551203
ARI,off,0.11789886436435525,0.006694033980600226,0.47553841675713926,0.46673692372728887,-0.11120483038375502,-0.008801493029850378
ATL,def,-0.10836951975472442,0.0483837592055613,0.5201722803216909,0.5818007178003812,0.1567532789602857,0.06162843747869014
ATL,off,0.1059088676178952,-0.05843982663742142,0.5004851242421534,0.4476745470662732,-0.16434869425531662,-0.05281057717588022
BAL,def,0.10817327492175301,-0.00035145651727496406,0.5906340384263418,0.6211927233276866,-0.10852473143902797,0.0305586849013448
BAL,off,0.2071765683513822,0.24031087809472784,0.4996701584484364,0.505774564739684,0.03313430974334566,0.006104406291247603
BUF,def,-0.1121909336842403,0.1268950707430522,0.5047926797254998,0.6061107960661449,0.2390860044272925,0.10131811634064505
BUF,off,0.19954542002410294,0.15648555416640933,0.5075179337193241,0.44666240036285726,-0.043059865857693606,-0.060855533356466894
CAR,def,-0.19704888612392069,-0.11939674010642938,0.48737721918159815,0.4986671370650666,0.0776521460174913,0.011289917883468451
CAR,off,-0.04375634709771531,-0.11069763486914352,0.39783103901911954,0.41085787440832755,-0.06694128777142823,0.013026835389208069
CHI,def,-0.08179281180897457,0.09255774405866234,0.5404224182743668,0.5803003551507271,0.1743505558676369,0.039877936876360334
CHI,off,-0.15435995737171893,-0.05183310798995679,0.3809687678050533,0.4019222438352779,0.10252684938176214,0.0209534760302246
CIN,def,-0.039316968965252684,-0.04225323851119643,0.5255586599829953,0.5589753835083613,-0.0029362695459437425,0.03341672352536602
CIN,off,0.08037228378250805,0.07297685687613661,0.46710315981485817,0.47016207339128097,-0.00739542690637144,0.0030589135764228113
CLE,def,-0.024971562478635856,0.03032207334164485,0.5785234682339349,0.618592084428665,0.0552936358202807,0.04006861619473009
CLE,off,-0.2378444137212576,-0.16452019812633722,0.32625935831315434,0.3926300148574706,0.07332421559492037,0.06637065654431624
DAL,def,-0.061558839439531964,-0.08918950060527343,0.5726951891703577,0.5247513461064947,-0.027630661165741466,-0.047943843063863
DAL,off,-0.08065417359901199,-0.1785740671165041,0.41633127415789567,0.380680875335016,-0.0979198935174921,-0.035650398822879736
DEN,def,0.018852473776635716,0.1967571188658036,0.5942263906908702,0.6202024963054374,0.17790464508916787,0.02597610561456717
DEN,off,0.008687340276852262,-0.03411880236652061,0.4446647755785656,0.3995439743634619,-0.042806142643372874,-0.045120801215103756
DET,def,0.03442069651605054,0.09027912042297837,0.5710580606472556,0.6054901261779374,0.05585842390692781,0.03443206553068176
DET,off,0.20652563842077307,0.11143972799541298,0.5218375584045315,0.4798723223224777,-0.09508591042536006,-0.04196523608205386
GB,def,0.032270887259126184,0.11824775626462486,0.5586845727574382,0.5731203490049557,0.08597686900549867,0.014435776247517441
GB,off,0.04631537769211605,0.09023673852372338,0.4625410533560916,0.4345000861201296,0.04392136083160733,-0.028040967235961927
HOU,def,0.1323254258864773,0.031906703086195365,0.6166263496059589,0.5972720141186622,-0.10041872280028193,-0.01935433548729684
HOU,off,0.005156947544909817,-0.11142400255177524,0.41011151910261695,0.3747436097017581,-0.11658095009668507,-0.03536790940085887
IND,def,-0.020853914166413433,-0.0024082330622300706,0.5758162267970984,0.563965504238318,0.018445681104183362,-0.011850722558780372
IND,off,-0.07132667018445364,-0.0750307921418766,0.3975051351362147,0.39617552288638197,-0.0037041219574229546,-0.0013296122498327961
JAX,def,-0.12051380674642459,-0.12513736533917247,0.5534126478284619,0.5536944555885374,-0.004623558592747888,0.0002818077600754927
JAX,off,-0.05401553960470491,-0.05264283597482172,0.4043398119590059,0.40496383464427016,0.0013727036298832017,0.0006240226852642573
KC,def,-0.015754094587493682,-0.013037957928847928,0.5884274355528202,0.5534826868519168,0.0027161366586457543,-0.03494474870090341
KC,off,0.020764636874962262,0.04656349727107131,0.45252675786148167,0.4594722181845456,0.025798860396109048,0.0069454603230639286
LA,def,0.017772198192151454,-0.073566040621367,0.5521454893186685,0.5538563919865707,-0.09133823881351846,0.0017109026679021512
LA,off,-0.05872048375367533,0.07176150696132332,0.4452435707074347,0.4819747688956905,0.13048199071499864,0.036731198188255744
LAC,def,0.1418823770560929,0.019009127903207135,0.589989070622424,0.584742658218905,-0.12287324915288576,-0.005246412403518968
LAC,off,0.04229917408698104,-0.11790585306455156,0.4424961086874983,0.3535790161588989,-0.16020502715153262,-0.08891709252859936
LV,def,-0.03301627067243531,-0.007015445161268955,0.5484637531677673,0.572323115530545,0.026000825511166357,0.023859362362777692
LV,off,-0.10613414640442806,-0.175248143613843,0.40278435884795893,0.4069238910260268,-0.06911399720941493,0.0041395321780678855
MIA,def,0.02288482948888473,0.01905683174425986,0.5718304692802509,0.5667418440483462,-0.0038279977446248744,-0.00508862523190476
MIA,off,-0.10003523666699365,-0.002835953088045978,0.4322729812308054,0.4420217307582086,0.09719928357894768,0.009748749527403223
MIN,def,0.11875001187404258,0.07547908811811116,0.5963837172576903,0.5788043893083381,-0.043270923755931445,-0.017579327949352165
MIN,off,-0.008509087686779536,-0.011924481439961523,0.4722881122058372,0.4228479007778512,-0.003415393753181981,-0.04944021142798597
NE,def,-0.12079830376457273,-0.013634365912035916,0.5271197758930648,0.5700587000305175,0.1071639378525368,0.042938924137452816
NE,off,-0.07683019600911654,-0.1113053460167302,0.40485731923461216,0.4293375663984734,-0.03447515000761365,0.024480247163861303
NO,def,0.037237326583881014,-0.08406995189234624,0.5676091322578064,0.5502020290924551,-0.12130727847622724,-0.01740710316535133
NO,off,0.02609707162739975,-0.15904084762316492,0.42814045884804847,0.3733660981626342,-0.1851379192505647,-0.05477436068541425
NYG,def,-0.08535310908753989,-0.042811390701125045,0.5389426775399511,0.5440912843178739,0.04254171838641485,0.005148606777922723
NYG,off,-0.11929310926027921,-0.10266793745721048,0.39855085393831313,0.39892403700892065,0.016625171803068706,0.0003731830706074961
NYJ,def,0.029038835653779807,-0.038342416879735136,0.5727696687419099,0.5807246075257702,-0.06738125253351494,0.007954938783860247
NYJ,off,-0.0708472855387946,0.026813090862834815,0.40644403132382473,0.4343387665623292,0.0976603764016294,0.027894735238504526
PHI,def,0.2019904369522646,0.07178143204368574,0.6399152918308774,0.5729957423477879,-0.1302090049085788,-0.06691954948308941
PHI,off,0.07101693423791203,0.1793436099628508,0.43849874280202383,0.4618732190594962,0.10832667572493879,0.023374476257472382
PIT,def,-0.05202119265677099,0.10950813406386457,0.5266877628817144,0.5924644358767105,0.16152932672063558,0.06577667299499614
PIT,off,-0.09970381723261672,0.020052643696054723,0.40264569693776164,0.40132802933453754,0.11975646092867143,-0.0013176676032241072
SEA,def,0.005263997812317952,0.00923040182354166,0.5596961595428588,0.5573433499501129,0.0039664040112237136,-0.00235280959274588
SEA,off,-0.016148452517285583,-0.08162853018992752,0.438954021431558,0.42409927119087554,-0.06548007767264195,-0.014854750240682488
SF,def,0.04583139631499675,-0.08983731161355221,0.589443670709602,0.5206090383921703,-0.13566870792854896,-0.06883463231743177
SF,off,0.12527410911176157,-0.021408341507603984,0.45473594449997945,0.45588513488063065,-0.14668245061936555,0.0011491903806511879
TB,def,-0.10019459319628653,0.12445125105541915,0.5433039589733302,0.5979286117405654,0.2246458442517057,0.05462465276723525
TB,off,0.0938599991214957,0.14167050456230576,0.4813179878791215,0.4958631424494174,0.04781050544081006,0.01454515457029595
TEN,def,-0.0390559018367881,0.013823120362880116,0.5621749119833812,0.5880991534529106,0.052879022199668224,0.025924241469529367
TEN,off,-0.09036236942421115,-0.15939881719332766,0.4107632509907,0.37702633228091814,-0.06903644776911652,-0.033736918709781835
WAS,def,0.08369666928204464,-0.15675830166575397,0.5687353674163089,0.526874916233092,-0.2404549709477986,-0.041860451183216976
WAS,off,0.10730468718163988,0.14018535063534304,0.48550717904491386,0.46413267440008454,0.03288066345370316,-0.02137450464482931
