season,team,off_3d_att,off_3d_conv,off_3d_epa_per_play,off_3d_sr,off_3d_rate,off_3d_pass_rate,off_3d_avg_togo,def_3d_att_faced,def_3d_allowed_conv,def_3d_epa_allowed_per_play,def_3d_sr_allowed,def_3d_allowed_rate,def_3d_pass_rate_faced,def_3d_avg_togo_faced,conv_rate,def_3d_epa_per_play
2025,ARI,26,11,0.0298483290004007,0.4151515151515151,0.4230769230769231,0.6515151515151515,8.715151515151515,37,13,-0.3898999727173158,0.3508771929824561,0.3513513513513513,0.6754385964912281,7.514619883040935,0.4230769230769231,-0.3898999727173158
2025,ATL,32,12,-0.1379273800412193,0.375,0.375,0.71875,6.3125,26,11,-0.0563625863620213,0.4166666666666666,0.4230769230769231,0.7619047619047619,5.755952380952381,0.375,-0.0563625863620213
2025,BAL,25,9,0.1489797377636513,0.3557692307692308,0.36,0.6826923076923077,8.166666666666668,36,15,-0.1390255646024695,0.4195046439628482,0.4166666666666667,0.6888544891640866,6.164086687306501,0.36,-0.1390255646024695
2025,BUF,44,21,0.3542453783917873,0.4845142602495544,0.4772727272727273,0.667669340463458,6.012700534759358,39,16,0.0343167005823208,0.376068376068376,0.4102564102564102,0.7222999222999222,8.284848484848485,0.4772727272727273,0.0343167005823208
2025,CAR,35,16,-0.196671949797555,0.4654605263157895,0.4571428571428571,0.7483552631578947,6.9868421052631575,23,9,-0.00708700366544,0.3901515151515151,0.391304347826087,0.6515151515151515,7.390151515151516,0.4571428571428571,-0.00708700366544
2025,CHI,28,12,0.2384880818426609,0.4285714285714285,0.4285714285714285,0.7142857142857143,9.607142857142858,25,9,-0.3007251188158989,0.3666666666666667,0.36,0.6166666666666667,7.716666666666667,0.4285714285714285,-0.3007251188158989
2025,CIN,28,13,0.0820383179400648,0.4642857142857143,0.4642857142857143,0.75,7.214285714285714,32,17,0.0505176162241622,0.5202429149797572,0.53125,0.7388663967611335,5.5,0.4642857142857143,0.0505176162241622
2025,CLE,38,18,-0.0768485363866937,0.4736842105263158,0.4736842105263157,0.7105263157894737,6.105263157894736,26,10,-0.1069469016510993,0.375,0.3846153846153846,0.7321428571428572,7.166666666666667,0.4736842105263157,-0.1069469016510993
2025,DAL,29,15,0.4578063197653083,0.5392156862745098,0.5172413793103449,0.7867647058823529,7.262254901960784,27,14,0.3907335002596179,0.5333333333333333,0.5185185185185185,0.8166666666666667,7.525,0.5172413793103449,0.3907335002596179
2025,DEN,28,15,0.2283962433908712,0.5213903743315508,0.5357142857142857,0.6871657754010696,6.596256684491979,27,8,-0.2099312641402031,0.3021978021978022,0.2962962962962963,0.8131868131868132,8.673076923076923,0.5357142857142857,-0.2099312641402031
2025,DET,25,9,-0.1845762804150581,0.3666666666666667,0.36,0.7833333333333333,7.183333333333334,25,13,0.4610423602454073,0.512987012987013,0.52,0.5941558441558441,6.782467532467533,0.36,0.4610423602454073
2025,GB,24,10,0.17813745635998,0.4195804195804196,0.4166666666666667,0.6573426573426573,6.702797202797203,33,11,-0.4570089504122734,0.3333333333333333,0.3333333333333333,0.8222222222222222,6.46111111111111,0.4166666666666667,-0.4570089504122734
2025,HOU,20,5,-0.5073064494915682,0.2474747474747474,0.25,0.7626262626262625,9.136363636363637,29,13,-0.0501902351421969,0.4476190476190476,0.4482758620689655,0.8,6.033333333333333,0.25,-0.0501902351421969
2025,IND,28,13,0.0032400930157074,0.4641025641025641,0.4642857142857143,0.6846153846153846,5.28974358974359,21,10,-0.1591958281668749,0.4772727272727273,0.4761904761904761,0.7636363636363637,6.672727272727273,0.4642857142857143,-0.1591958281668749
2025,JAX,25,11,-0.0459512026073076,0.4391025641025641,0.44,0.7564102564102564,6.208333333333334,30,15,0.1040469753955091,0.4955357142857143,0.5,0.7991071428571428,6.964285714285714,0.44,0.1040469753955091
2025,KC,31,10,-0.303685295705994,0.3229166666666666,0.3225806451612903,0.70625,6.885416666666666,29,12,0.3528791105446334,0.4254807692307692,0.4137931034482758,0.5961538461538461,8.274038461538462,0.3225806451612903,0.3528791105446334
2025,LA,26,12,0.1425251822579991,0.4606060606060606,0.4615384615384615,0.7545454545454545,5.533333333333333,28,9,0.0406903100204977,0.3128342245989305,0.3214285714285714,0.6711229946524064,9.842245989304814,0.4615384615384615,0.0406903100204977
2025,LAC,25,11,0.2294533247044548,0.4358974358974359,0.44,0.6378205128205128,7.086538461538462,37,15,-0.0920384679699228,0.3943452380952381,0.4054054054054054,0.7395833333333333,6.6711309523809526,0.44,-0.0920384679699228
2025,LV,35,15,0.104531382166204,0.4166666666666666,0.4285714285714285,0.6904761904761905,7.916666666666667,28,8,-0.2580118369466314,0.2916666666666666,0.2857142857142857,0.6354166666666667,6.34375,0.4285714285714285,-0.2580118369466314
2025,MIA,37,19,0.1246237410258294,0.5,0.5135135135135135,0.7888888888888889,6.65,38,20,0.3950304428134302,0.5318181818181819,0.5263157894736842,0.7202020202020202,5.648484848484848,0.5135135135135135,0.3950304428134302
2025,MIN,27,9,-0.5817144602537155,0.3333333333333333,0.3333333333333333,0.6,6.758333333333333,30,10,-0.0356562816637701,0.3303571428571428,0.3333333333333333,0.6741071428571428,8.392857142857142,0.3333333333333333,-0.0356562816637701
2025,NE,28,11,0.3715672745990256,0.4166666666666667,0.3928571428571428,0.7604166666666667,7.552083333333334,26,9,0.164957927104773,0.3452380952380952,0.3461538461538461,0.7738095238095238,8.839285714285715,0.3928571428571428,0.164957927104773
2025,NO,31,12,0.0050366371074038,0.3974358974358974,0.3870967741935484,0.717948717948718,6.931623931623932,32,17,0.5854318201249721,0.5274509803921569,0.53125,0.6862745098039216,8.415686274509804,0.3870967741935484,0.5854318201249721
2025,NYG,34,10,-0.0949438626828946,0.3052631578947368,0.2941176470588235,0.7947368421052632,7.557894736842106,28,11,-0.0716199088283879,0.3877005347593583,0.3928571428571428,0.8663101604278074,6.970588235294118,0.2941176470588235,-0.0716199088283879
2025,NYJ,25,7,-0.4017436268207218,0.25,0.28,0.6233766233766234,7.977272727272727,28,12,0.281156251206994,0.4270833333333333,0.4285714285714285,0.71875,7.8125,0.28,0.281156251206994
2025,PHI,28,13,0.2362440183448295,0.4895833333333333,0.4642857142857143,0.6666666666666667,6.9375,27,13,0.1332746657232443,0.5,0.4814814814814814,0.675,6.458333333333333,0.4642857142857143,0.1332746657232443
2025,PIT,29,11,-0.2805749616202186,0.3848039215686274,0.3793103448275862,0.7279411764705883,7.095588235294118,28,13,0.5350335013520504,0.4642857142857143,0.4642857142857143,0.6071428571428571,7.357142857142857,0.3793103448275862,0.5350335013520504
2025,SEA,25,9,0.0893810720896565,0.3506493506493506,0.36,0.711038961038961,7.379870129870129,33,14,-0.0222957518383148,0.4264705882352941,0.4242424242424242,0.6341911764705883,6.470588235294118,0.36,-0.0222957518383148
2025,SF,33,18,0.7033182625172605,0.5441176470588236,0.5454545454545454,0.6341911764705883,6.882352941176471,24,9,-0.1328232448704384,0.3671328671328671,0.375,0.7027972027972028,6.426573426573427,0.5454545454545454,-0.1328232448704384
2025,TB,28,13,0.1310049279459885,0.4642857142857143,0.4642857142857143,0.9285714285714286,5.964285714285714,25,8,-0.647282555906309,0.2986111111111111,0.32,0.8819444444444444,6.5625,0.4642857142857143,-0.647282555906309
2025,TEN,31,8,-0.1396792009238059,0.2478991596638655,0.2580645161290322,0.7815126050420168,9.955882352941178,28,15,0.3520628197546949,0.5213903743315508,0.5357142857142857,0.7780748663101604,5.3235294117647065,0.2580645161290322,0.3520628197546949
2025,WAS,29,10,-0.3842040937055241,0.3484848484848485,0.3448275862068966,0.8434343434343434,6.027777777777778,32,9,-0.1972730598649998,0.2975708502024291,0.28125,0.7793522267206479,7.54251012145749,0.3448275862068966,-0.1972730598649998
